epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,163.511,0.67004,0.49952,0.25585,0.59297,1.32476,0.9936,1,0.995,0.89491,0.9936,1,0.995,0.88452,0.51254,0.52787,0.06559,0.70486,0.9916,0.006766,0.006766,0.006766
51,166.567,0.69131,0.46544,0.24882,0.60876,1.33195,0.99294,1,0.995,0.88693,0.99294,1,0.995,0.64191,0.56511,1.22209,0.06006,0.62181,1.17565,0.0067,0.0067,0.0067
52,169.589,0.70836,0.40285,0.21245,0.601,1.36647,0.99387,1,0.995,0.8732,0.99387,1,0.995,0.89783,0.64491,0.50384,0.02475,0.69383,1.219,0.006634,0.006634,0.006634
53,172.684,0.71556,0.55465,0.2713,0.57707,1.36952,0.99162,1,0.995,0.81564,0.99162,1,0.995,0.88038,0.85582,0.50908,0.03885,0.84185,1.50152,0.006568,0.006568,0.006568
54,175.771,0.71136,0.4972,0.20512,0.60103,1.36059,0.99176,1,0.995,0.80655,0.99176,1,0.995,0.84039,0.82296,0.6228,0.12072,0.91067,1.39725,0.006502,0.006502,0.006502
55,178.835,0.73693,0.41601,0.21202,0.59049,1.40157,0.99211,1,0.995,0.78262,0.99211,1,0.995,0.82126,0.83041,0.6539,0.14939,1.02439,1.45169,0.006436,0.006436,0.006436
56,181.83,0.67255,0.56715,0.23939,0.57162,1.32143,0.99696,1,0.995,0.77896,0.99696,1,0.995,0.80053,0.84926,0.80038,0.17797,1.06895,1.7524,0.00637,0.00637,0.00637
57,184.93,0.70873,0.5065,0.23593,0.54949,1.33552,0.99595,1,0.995,0.87897,0.99595,1,0.995,0.81622,0.74954,0.8043,0.07075,1.03023,1.52049,0.006304,0.006304,0.006304
58,188,0.70103,0.48819,0.23526,0.6015,1.34199,0.96068,1,0.99397,0.86386,0.96068,1,0.99397,0.86277,0.60012,0.56098,0.01614,0.91995,1.02666,0.006238,0.006238,0.006238
59,191.046,0.70737,0.57938,0.26817,0.63733,1.39343,0.96867,1,0.995,0.90687,0.96867,1,0.995,0.88951,0.55517,0.4739,0.01904,0.57455,0.96501,0.006172,0.006172,0.006172
60,194.178,0.65496,0.50611,0.23571,0.54804,1.31869,0.9979,1,0.995,0.881,0.9979,1,0.995,0.89073,0.54027,0.4293,0.03367,0.54548,0.93099,0.006106,0.006106,0.006106
61,197.223,0.65168,0.43154,0.21693,0.55291,1.33877,0.99781,1,0.995,0.87784,0.99781,1,0.995,0.90433,0.60836,0.44185,0.04813,0.51443,1.04748,0.00604,0.00604,0.00604
62,200.367,0.68385,0.46455,0.25293,0.54086,1.36007,0.99384,1,0.995,0.78254,0.99384,1,0.995,0.91457,0.87862,0.44717,0.07473,0.75957,2.13276,0.005974,0.005974,0.005974
63,203.5,0.7177,0.45346,0.23303,0.58583,1.36482,0.99333,1,0.995,0.76178,0.99333,1,0.995,0.8692,0.87648,0.45416,0.08319,0.71705,2.01782,0.005908,0.005908,0.005908
64,206.573,0.69103,0.56992,0.23192,0.58215,1.34899,0.98733,1,0.995,0.76481,0.98733,1,0.995,0.83621,0.88403,0.52813,0.23456,0.8745,2.04999,0.005842,0.005842,0.005842
65,209.626,0.65309,0.49761,0.23424,0.52494,1.30054,0.9841,1,0.995,0.76976,0.9841,1,0.995,0.79374,0.85398,0.59705,0.32276,0.90256,1.88908,0.005776,0.005776,0.005776
66,212.683,0.63997,0.55458,0.23016,0.54673,1.31509,0.99645,1,0.995,0.74623,0.99645,1,0.995,0.78895,0.86357,0.68655,0.61773,0.99627,1.90457,0.00571,0.00571,0.00571
67,215.842,0.57894,0.3671,0.19375,0.50609,1.27415,0.99122,1,0.995,0.75866,0.99122,1,0.995,0.67496,0.88649,1.13277,0.54208,1.03319,1.96732,0.005644,0.005644,0.005644
68,218.98,0.63076,0.47323,0.21369,0.53127,1.31105,0.9946,1,0.995,0.80789,0.9946,1,0.995,0.73763,0.73701,0.80521,0.17172,0.93072,1.47346,0.005578,0.005578,0.005578
69,221.996,0.67416,0.49396,0.20778,0.55057,1.3233,0.99442,1,0.995,0.83289,0.88777,0.89286,0.81771,0.29284,0.66122,2.17308,0.23246,0.78617,1.35787,0.005512,0.005512,0.005512
70,225.041,0.66721,0.4104,0.20747,0.5281,1.32662,0.99423,1,0.995,0.85761,0.88742,0.89286,0.85291,0.23408,0.68585,2.50669,0.24913,0.98754,1.39773,0.005446,0.005446,0.005446
71,228.134,0.61392,0.4686,0.24457,0.50358,1.3087,0.99346,1,0.995,0.85574,0.99346,1,0.995,0.8293,0.77531,0.69468,0.14157,0.84498,1.48819,0.00538,0.00538,0.00538
72,231.186,0.69348,0.55137,0.21172,0.59317,1.37387,0.92306,1,0.98774,0.78241,0.8901,0.96429,0.9401,0.53523,1.02384,1.79618,0.17875,0.82967,1.94854,0.005314,0.005314,0.005314
73,234.3,0.59938,0.44908,0.20817,0.56768,1.28452,0.99454,1,0.995,0.84722,0.99454,1,0.995,0.65675,0.87169,1.18767,0.18868,0.78648,1.71382,0.005248,0.005248,0.005248
74,237.305,0.58798,0.45495,0.19931,0.52386,1.28752,0.99734,1,0.995,0.84537,0.99734,1,0.995,0.88764,0.61009,0.54694,0.22192,0.52888,1.09895,0.005182,0.005182,0.005182
75,240.301,0.61744,0.38632,0.19281,0.49759,1.26076,0.99009,1,0.995,0.86842,0.99009,1,0.995,0.85653,0.65098,0.56661,0.37161,0.79789,1.1337,0.005116,0.005116,0.005116
76,243.357,0.63777,0.46642,0.19712,0.52861,1.31876,0.99619,1,0.995,0.83432,0.99619,1,0.995,0.7333,0.73588,0.94298,0.94528,0.8382,1.41602,0.00505,0.00505,0.00505
