epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,230.588,0.18154,0.68192,0.40294,0.27511,0.94397,0.99673,1,0.995,0.995,0.99673,1,0.995,0.68528,0.25256,0.88011,0.28707,0.2808,0.58748,0.0007724,0.0007724,0.0007724
64,234.326,0.18871,0.93658,0.43013,0.29979,0.95719,0.99679,1,0.995,0.995,0.99679,1,0.995,0.63667,0.24597,1.01156,0.26356,0.29672,0.56922,0.0007526,0.0007526,0.0007526
65,237.853,0.19028,0.67952,0.41297,0.30005,0.95454,0.99679,1,0.995,0.995,0.99679,1,0.995,0.65151,0.2197,1.01399,0.20344,0.26155,0.52736,0.0007328,0.0007328,0.0007328
66,241.484,0.17661,0.73981,0.38122,0.27598,0.90513,0.99675,1,0.995,0.995,0.99675,1,0.995,0.66228,0.19673,0.99653,0.15605,0.22193,0.49409,0.000713,0.000713,0.000713
67,246.003,0.20454,0.81341,0.39344,0.29935,0.96809,0.99678,1,0.995,0.995,0.99678,1,0.995,0.6443,0.16182,1.04508,0.14553,0.19549,0.45193,0.0006932,0.0006932,0.0006932
68,249.582,0.14622,0.7342,0.39406,0.25758,0.91991,0.99674,1,0.995,0.995,0.99674,1,0.995,0.65196,0.13939,1.02117,0.18366,0.18002,0.43502,0.0006734,0.0006734,0.0006734
69,252.83,0.17188,0.83307,0.36107,0.27086,0.95056,0.9967,1,0.995,0.995,0.9967,1,0.995,0.69753,0.13949,0.95669,0.26802,0.18131,0.43622,0.0006536,0.0006536,0.0006536
70,256.225,0.16768,0.705,0.33504,0.2789,0.94122,0.99671,1,0.995,0.995,0.99671,1,0.995,0.71696,0.14674,0.85736,0.27705,0.19049,0.44165,0.0006338,0.0006338,0.0006338
71,260.078,0.15295,0.62963,0.36337,0.24093,0.9199,0.99667,1,0.995,0.995,0.99667,1,0.995,0.77135,0.15589,0.76353,0.25387,0.19321,0.44146,0.000614,0.000614,0.000614
72,263.808,0.1522,0.85807,0.41232,0.27291,0.94369,0.99664,1,0.995,0.995,0.99664,1,0.995,0.7875,0.15301,0.70631,0.18468,0.20314,0.44703,0.0005942,0.0005942,0.0005942
73,267.244,0.16312,0.63711,0.34816,0.24946,0.94743,0.99651,1,0.995,0.995,0.99651,1,0.995,0.81673,0.1626,0.68922,0.14802,0.21476,0.45874,0.0005744,0.0005744,0.0005744
74,270.702,0.16423,0.78831,0.3877,0.26902,0.94721,0.99649,1,0.995,0.995,0.99649,1,0.995,0.81358,0.18615,0.701,0.11321,0.24813,0.47445,0.0005546,0.0005546,0.0005546
75,274.31,0.15266,0.70778,0.3803,0.24539,0.91985,0.99649,1,0.995,0.995,0.99649,1,0.995,0.81358,0.18615,0.701,0.11321,0.24813,0.47445,0.0005348,0.0005348,0.0005348
